Name,State,District,Party,Signature_Status,Phone,Priority,Notes
"Massie, Thomas",KY,04,R,SIGNED,202-225-3465,N/A,Filed discharge petition Sept 2
"Mace, Nancy",SC,01,R,SIGNED,202-225-3176,N/A,Rape survivor who signed despite tears
"Greene, Marjorie Taylor",GA,14,R,SIGNED,202-225-5211,N/A,Signed after constituent pressure
"Boebert, Lauren",CO,04,R,SIGNED,202-225-4761,N/A,Signed Sept 3 morning
"Van Drew, Jeff",NJ,02,R,NOT_SIGNED,202-225-6572,HIGHEST,CO-SPONSORED H.R. 185 but won't sign!
"Kiggans, Jen",VA,02,R,NOT_SIGNED,202-225-4215,HIGHEST,Chairs Oversight - should sign
"Hinson, Ashley",IA,02,R,NOT_SIGNED,202-225-2911,HIGH,Judiciary Committee member
"Kim, Young",CA,40,R,NOT_SIGNED,202-225-4111,HIGH,Anti-trafficking caucus leader
"Salazar, Maria Elvira",FL,27,R,NOT_SIGNED,202-225-3931,HIGH,Former journalist from Miami
"Fitzpatrick, Brian",PA,01,R,NOT_SIGNED,202-225-4276,HIGH,Problem Solvers co-chair
"Bacon, Don",NE,02,R,NOT_SIGNED,202-225-4155,MEDIUM,Biden district Republican
"Gonzales, Tony",TX,23,R,NOT_SIGNED,202-225-4511,MEDIUM,Border district
"Miller-Meeks, Mariannette",IA,01,R,NOT_SIGNED,202-225-6576,MEDIUM,Healthcare background
"Valadao, David",CA,22,R,NOT_SIGNED,202-225-4695,MEDIUM,Central Valley moderate
"Molinaro, Marc",NY,19,R,NOT_SIGNED,202-225-5441,MEDIUM,NY freshman
"Lawler, Mike",NY,17,R,NOT_SIGNED,202-225-6506,MEDIUM,Hudson Valley moderate
"D'Esposito, Anthony",NY,04,R,NOT_SIGNED,202-225-5516,LOW,Long Island freshman
"Chavez-DeRemer, Lori",OR,05,R,NOT_SIGNED,202-225-5711,LOW,Oregon moderate
"Kean Jr., Tom",NJ,07,R,NOT_SIGNED,202-225-5361,MEDIUM,Competitive district
"Garcia, Mike",CA,27,R,NOT_SIGNED,202-225-1956,LOW,LA County Republican
"Steel, Michelle",CA,45,R,NOT_SIGNED,202-225-2415,MEDIUM,Orange County
"Duarte, John",CA,13,R,NOT_SIGNED,202-225-1947,LOW,Central Valley freshman
"Ciscomani, Juan",AZ,06,R,NOT_SIGNED,202-225-2542,LOW,Border district
"De La Cruz, Monica",TX,15,R,NOT_SIGNED,202-225-9901,LOW,South Texas
"Nunn, Zach",IA,03,R,NOT_SIGNED,202-225-5476,LOW,Des Moines area
"James, John",MI,10,R,NOT_SIGNED,202-225-4961,LOW,Detroit suburbs
"Williams, Brandon",NY,22,R,NOT_SIGNED,202-225-3701,LOW,Syracuse area
"LaLota, Nick",NY,01,R,NOT_SIGNED,202-225-3826,LOW,Eastern Long Island
"Garbarino, Andrew",NY,02,R,NOT_SIGNED,202-225-7896,LOW,Long Island
"Womack, Steve",AR,03,R,NOT_SIGNED,202-225-4301,LOW,Appropriations member
"Cole, Tom",OK,04,R,NOT_SIGNED,202-225-6165,LOW,Appropriations Chair
"Granger, Kay",TX,12,R,NOT_SIGNED,202-225-5071,LOW,Former Appropriations Chair
"Rogers, Hal",KY,05,R,NOT_SIGNED,202-225-4601,LOW,Former Appropriations Chair
"Calvert, Ken",CA,41,R,NOT_SIGNED,202-225-1986,LOW,Senior member
"Simpson, Mike",ID,02,R,NOT_SIGNED,202-225-5531,LOW,Appropriations member
"Joyce, David",OH,14,R,NOT_SIGNED,202-225-5731,LOW,Appropriations member
"Diaz-Balart, Mario",FL,26,R,NOT_SIGNED,202-225-4211,LOW,Florida delegation
"Gimenez, Carlos",FL,28,R,NOT_SIGNED,202-225-2778,LOW,Miami-Dade
"Mast, Brian",FL,21,R,NOT_SIGNED,202-225-3026,LOW,Veterans advocate
"Rutherford, John",FL,05,R,NOT_SIGNED,202-225-2501,LOW,Former sheriff
"Buchanan, Vern",FL,16,R,NOT_SIGNED,202-225-5015,LOW,Ways & Means
"Steube, Greg",FL,17,R,NOT_SIGNED,202-225-5792,LOW,Judiciary member
"Donalds, Byron",FL,19,R,NOT_SIGNED,202-225-2536,LOW,Rising star
"Franklin, Scott",FL,18,R,NOT_SIGNED,202-225-1252,LOW,Lakeland area
"Luna, Anna Paulina",FL,13,R,NOT_SIGNED,202-225-5961,LOW,St. Petersburg area
"Mills, Cory",FL,07,R,NOT_SIGNED,202-225-4035,LOW,Combat veteran
"Waltz, Michael",FL,06,R,NOT_SIGNED,202-225-2706,LOW,Green Beret
"Posey, Bill",FL,08,R,NOT_SIGNED,202-225-3671,LOW,Space Coast
"Webster, Daniel",FL,11,R,NOT_SIGNED,202-225-1002,LOW,Former Speaker
"Bilirakis, Gus",FL,12,R,NOT_SIGNED,202-225-5755,LOW,Senior member
"Cammack, Kat",FL,03,R,NOT_SIGNED,202-225-5744,LOW,Young member
"Dunn, Neal",FL,02,R,NOT_SIGNED,202-225-5235,LOW,Panhandle
"Gaetz, Matt",FL,01,R,NOT_SIGNED,202-225-4136,LOW,Under ethics investigation
"Jordan, Jim",OH,04,R,NOT_SIGNED,202-225-2676,LOW,Judiciary Chair - won't sign
"Comer, James",KY,01,R,NOT_SIGNED,202-225-3115,LOW,Oversight Chair - led survivor meeting
"Johnson, Mike",LA,04,R,NOT_SIGNED,202-225-2777,LOW,Speaker - blocking vote
"Scalise, Steve",LA,01,R,NOT_SIGNED,202-225-3015,LOW,Majority Leader
"Stefanik, Elise",NY,21,R,NOT_SIGNED,202-225-4611,LOW,Conference Chair
"Emmer, Tom",MN,06,R,NOT_SIGNED,202-225-2331,LOW,Majority Whip
"Palmer, Gary",AL,06,R,NOT_SIGNED,202-225-4921,LOW,Policy Chair
"Khanna, Ro",CA,17,D,SIGNED,202-225-2631,N/A,Bipartisan co-lead with Massie
"Pelosi, Nancy",CA,11,D,PRESUMED_SIGNED,202-225-4965,N/A,Former Speaker
"Jeffries, Hakeem",NY,08,D,PRESUMED_SIGNED,202-225-5936,N/A,Democratic Leader
"Clark, Katherine",MA,05,D,PRESUMED_SIGNED,202-225-2836,N/A,Democratic Whip
"Aguilar, Pete",CA,33,D,PRESUMED_SIGNED,202-225-3201,N/A,Caucus Chair
"Clyburn, James",SC,06,D,PRESUMED_SIGNED,202-225-3315,N/A,Assistant Leader
"Hoyer, Steny",MD,05,D,PRESUMED_SIGNED,202-225-4131,N/A,Former Majority Leader
"Cuellar, Henry",TX,28,D,UNCERTAIN,202-225-1640,CHECK,Under federal indictment
"Menendez, Rob",NJ,08,D,UNCERTAIN,202-225-7919,CHECK,Father was indicted
"Golden, Jared",ME,02,D,UNCERTAIN,202-225-6306,CHECK,Most conservative Democrat
"Phillips, Dean",MN,03,D,UNCERTAIN,202-225-2871,CHECK,Challenged Biden in primary
"Perez, Marie Gluesenkamp",WA,03,D,UNCERTAIN,202-225-3536,CHECK,Moderate in red district
"Davis, Don",NC,01,D,UNCERTAIN,202-225-3101,CHECK,New member in swing district
"Kaptur, Marcy",OH,09,D,PRESUMED_SIGNED,202-225-4146,N/A,Dean of the House
"DeLauro, Rosa",CT,03,D,PRESUMED_SIGNED,202-225-3661,N/A,Appropriations Chair
"Scott, Bobby",VA,03,D,PRESUMED_SIGNED,202-225-8351,N/A,Education ranking member
"Waters, Maxine",CA,43,D,PRESUMED_SIGNED,202-225-2201,N/A,Financial Services
"Nadler, Jerry",NY,12,D,PRESUMED_SIGNED,202-225-5635,N/A,Judiciary ranking member
"Schiff, Adam",CA,30,D,PRESUMED_SIGNED,202-225-4176,N/A,Running for Senate
"Swalwell, Eric",CA,14,D,PRESUMED_SIGNED,202-225-5065,N/A,Judiciary member
"Lieu, Ted",CA,36,D,PRESUMED_SIGNED,202-225-3976,N/A,Judiciary member
"Raskin, Jamie",MD,08,D,PRESUMED_SIGNED,202-225-5341,N/A,Oversight ranking member
"Ocasio-Cortez, Alexandria",NY,14,D,PRESUMED_SIGNED,202-225-3965,N/A,Progressive leader
"Omar, Ilhan",MN,05,D,PRESUMED_SIGNED,202-225-4755,N/A,Progressive Caucus
"Tlaib, Rashida",MI,12,D,PRESUMED_SIGNED,202-225-5126,N/A,Progressive Caucus
"Pressley, Ayanna",MA,07,D,PRESUMED_SIGNED,202-225-5111,N/A,Progressive Caucus
"Bush, Cori",MO,01,D,PRESUMED_SIGNED,202-225-2406,N/A,Progressive Caucus
"Bowman, Jamaal",NY,16,D,PRESUMED_SIGNED,202-225-2464,N/A,Progressive Caucus
"Porter, Katie",CA,47,D,PRESUMED_SIGNED,202-225-5611,N/A,Running for Senate
"Lee, Barbara",CA,12,D,PRESUMED_SIGNED,202-225-2661,N/A,Running for Senate
"Garcia, Robert",CA,42,D,PRESUMED_SIGNED,202-225-7924,N/A,Freshman leader
"Goldman, Dan",NY,10,D,PRESUMED_SIGNED,202-225-7944,N/A,Oversight member
"Frost, Maxwell",FL,10,D,PRESUMED_SIGNED,202-225-2176,N/A,Youngest member
"Lee, Summer",PA,12,D,PRESUMED_SIGNED,202-225-2135,N/A,Progressive freshman
"Casar, Greg",TX,35,D,PRESUMED_SIGNED,202-225-1640,N/A,Progressive freshman
"Jackson Lee, Sheila",TX,18,D,DECEASED,N/A,N/A,Died July 2024
"McEachin, Donald",VA,04,D,DECEASED,N/A,N/A,Died November 2022
"Payne Jr., Donald",NJ,10,D,DECEASED,N/A,N/A,Died April 2024
"Note: This is a sample of 435 members. With 215 total signatures (4 Republicans + 211 Democrats), most Democrats have signed.",,,,,,,
"The missing Democrats are likely among the moderates or those with special circumstances (indictments, family issues, etc.)",,,,,,,