Name,State,District,Party,Signature_Status,Signed_Date,Phone,Priority,Notes,Last_Verified,Last_Contact,Contact_Response
Wesley Bell,MO,1,D,SIGNED,2025-09-02,202-225-2406,,Freshman - defeated Bush,2025-09-03,,
Ann Wagner,MO,2,R,NOT_SIGNED,,202-225-1621,MEDIUM - GOP woman,GOP woman,,,
Bob Onder,MO,3,R,NOT_SIGNED,,202-225-2956,STANDARD,Freshman,,,
Mark Alford,MO,4,R,NOT_SIGNED,,202-225-2876,STANDARD,,,,
Emanuel Cleaver,MO,5,D,SIGNED,2025-09-02,202-225-4535,,,2025-09-03,,
Sam Graves,MO,6,R,NOT_SIGNED,,202-225-7041,STANDARD,Transportation Chair,,,
Eric Burlison,MO,7,R,NOT_SIGNED,,202-225-6536,STANDARD,,,,
Jason Smith,MO,8,R,NOT_SIGNED,,202-225-4404,STANDARD,Ways & Means Chair,,,
Kimberlyn King-Hinds,MP,AL,R,NOT_SIGNED,,202-225-2646,STANDARD,Non-voting delegate,,,
Trent Kelly,MS,1,R,NOT_SIGNED,,202-225-4306,STANDARD,,,,
Bennie Thompson,MS,2,D,SIGNED,2025-09-02,202-225-5876,,,2025-09-03,,
Michael Guest,MS,3,R,NOT_SIGNED,,202-225-5031,STANDARD,,,,
Mike Ezell,MS,4,R,NOT_SIGNED,,202-225-5772,STANDARD,,,,
Ryan K. Zinke,MT,1,R,NOT_SIGNED,,202-225-3211,STANDARD,Former Interior Secretary,,,
Troy Downing,MT,2,R,NOT_SIGNED,,202-225-1313,STANDARD,Freshman,,,
Donald Davis,NC,1,D,SIGNED,2025-09-02,202-225-3101,,Signed Sept 2,2025-09-03,,
Pat Harrigan,NC,10,R,NOT_SIGNED,,202-225-2576,STANDARD,Freshman,,,
Chuck Edwards,NC,11,R,NOT_SIGNED,,202-225-6401,STANDARD,Defeated Cawthorn,,,
Alma Adams,NC,12,D,SIGNED,2025-09-02,202-225-1510,,,2025-09-03,,
Brad Knott,NC,13,R,NOT_SIGNED,,202-225-2071,STANDARD,Freshman,,,
Timothy K. Moore,NC,14,R,NOT_SIGNED,,202-225-5735,STANDARD,Freshman - former Speaker,,,
Deborah Ross,NC,2,D,SIGNED,2025-09-02,202-225-3032,,,2025-09-03,,
Gregory Murphy,NC,3,R,NOT_SIGNED,,202-225-3415,STANDARD,Doctor,,,
Valerie Foushee,NC,4,D,SIGNED,2025-09-03,202-225-1784,,,2025-09-03,,
Virginia Foxx,NC,5,R,NOT_SIGNED,,202-225-2071,MEDIUM - GOP woman,GOP woman - Rules Chair,,,
Addison McDowell,NC,6,R,NOT_SIGNED,,202-225-3715,STANDARD,Freshman,,,
David Rouzer,NC,7,R,NOT_SIGNED,,202-225-2731,STANDARD,,,,
Mark Harris,NC,8,R,NOT_SIGNED,,202-225-3176,STANDARD,Finally won after 2018 scandal,,,
Richard Hudson,NC,9,R,NOT_SIGNED,,202-225-3715,STANDARD,NRCC Chair,,,
Julie Fedorchak,ND,AL,R,NOT_SIGNED,,202-225-2611,MEDIUM - GOP woman,GOP woman - First woman from ND,,,
Mike Flood,NE,1,R,NOT_SIGNED,,202-225-4806,STANDARD,,,,
Don Bacon,NE,2,R,NOT_SIGNED,,202-225-4155,STANDARD,Moderate - Biden district,,,
Adrian Smith,NE,3,R,NOT_SIGNED,,202-225-6435,STANDARD,,,,
Chris Pappas,NH,1,D,SIGNED,2025-09-02,202-225-5456,,,2025-09-03,,
Maggie Goodlander,NH,2,D,SIGNED,2025-09-02,202-225-5206,,Freshman - Jake Sullivan's wife,2025-09-03,,
Donald Norcross,NJ,1,D,SIGNED,2025-09-03,202-225-6501,,,2025-09-03,,
LaMonica McIver,NJ,10,D,SIGNED,2025-09-02,202-225-3436,,Freshman - replaced Payne,2025-09-03,,
Mikie Sherrill,NJ,11,D,SIGNED,2025-09-03,202-225-5034,,Running for governor,2025-09-03,,
Bonnie Watson Coleman,NJ,12,D,SIGNED,2025-09-02,202-225-5801,,,2025-09-03,,
Jeff Van Drew,NJ,2,R,NOT_SIGNED,,202-225-6572,HIGHEST - Co-sponsor,CO-SPONSORED H.R. 185 but won't sign!,,,
Herbert C. Conaway Jr.,NJ,3,D,SIGNED,2025-09-02,202-225-4765,,Freshman,2025-09-03,,
Chris Smith,NJ,4,R,NOT_SIGNED,,202-225-3765,STANDARD,,,,
Josh Gottheimer,NJ,5,D,SIGNED,2025-09-02,202-225-4465,,Problem Solvers co-chair,2025-09-03,,
Frank Pallone Jr.,NJ,6,D,SIGNED,2025-09-03,202-225-4671,,,2025-09-03,,
Thomas Kean Jr.,NJ,7,R,NOT_SIGNED,,202-225-5361,STANDARD,Moderate,,,
Robert Menendez Jr.,NJ,8,D,SIGNED,2025-09-02,202-225-7919,,Signed Sept 2 despite father's issues,2025-09-03,,
Nellie Pou,NJ,9,D,SIGNED,2025-09-02,202-225-5751,,Freshman - replaced Pascrell,2025-09-03,,
Melanie Ann Stansbury,NM,1,D,SIGNED,2025-09-02,202-225-6316,,,2025-09-03,,
Gabriel Vasquez,NM,2,D,SIGNED,2025-09-02,202-225-2365,,,2025-09-03,,
Teresa Leger Fernandez,NM,3,D,SIGNED,2025-09-03,202-225-6190,,,2025-09-03,,
Dina Titus,NV,1,D,SIGNED,2025-09-02,202-225-5965,,,2025-09-03,,
Mark Amodei,NV,2,R,NOT_SIGNED,,202-225-6155,STANDARD,,,,
Susie Lee,NV,3,D,SIGNED,2025-09-03,202-225-3252,,,2025-09-03,,
Steven Horsford,NV,4,D,SIGNED,2025-09-03,202-225-9894,,CBC Chair,2025-09-03,,
Nicholas J. LaLota,NY,1,R,NOT_SIGNED,,202-225-3826,STANDARD,,,,
Daniel Goldman,NY,10,D,SIGNED,2025-09-04,202-225-7944,,Signed Sept 4 (215th signature),2025-09-04,,
Nicole Malliotakis,NY,11,R,NOT_SIGNED,,202-225-3371,MEDIUM - GOP woman,GOP woman - Staten Island,,,
Jerrold Nadler,NY,12,D,SIGNED,2025-09-03,202-225-5635,,Judiciary Ranking,2025-09-03,,
Adriano Espaillat,NY,13,D,SIGNED,2025-09-02,202-225-4365,,,2025-09-03,,
Alexandria Ocasio-Cortez,NY,14,D,SIGNED,2025-09-02,202-225-3965,,Squad leader,2025-09-03,,
Ritchie Torres,NY,15,D,SIGNED,2025-09-03,202-225-4361,,,2025-09-03,,
George Latimer,NY,16,D,SIGNED,2025-09-02,202-225-2464,,Freshman - defeated Bowman,2025-09-03,,
Michael Lawler,NY,17,R,NOT_SIGNED,,202-225-6506,STANDARD,Moderate,,,
Pat Ryan,NY,18,D,SIGNED,2025-09-02,202-225-5614,,,2025-09-03,,
Josh Riley,NY,19,D,SIGNED,2025-09-03,202-225-5441,,Freshman - defeated Molinaro,2025-09-03,,
Andrew Garbarino,NY,2,R,NOT_SIGNED,,202-225-7896,STANDARD,,,,
Paul Tonko,NY,20,D,SIGNED,2025-09-02,202-225-5076,,,2025-09-03,,
Elise Stefanik,NY,21,R,NOT_SIGNED,,202-225-4611,MEDIUM - GOP woman,GOP woman - Conference Chair,,,
John Mannion,NY,22,D,SIGNED,2025-09-02,202-225-3701,,Freshman - defeated Williams,2025-09-03,,
Nick Langworthy,NY,23,R,NOT_SIGNED,,202-225-3161,STANDARD,,,,
Claudia Tenney,NY,24,R,NOT_SIGNED,,202-225-3665,MEDIUM - GOP woman,GOP woman,,,
Joseph Morelle,NY,25,D,SIGNED,2025-09-03,202-225-3615,,,2025-09-03,,
Timothy M. Kennedy,NY,26,D,SIGNED,2025-09-03,202-225-5265,,Replaced Higgins,2025-09-03,,
Tom Suozzi,NY,3,D,SIGNED,2025-09-02,202-225-3335,,Returned - replaced Santos,2025-09-03,,
Laura Gillen,NY,4,D,SIGNED,2025-09-02,202-225-5516,,Freshman - defeated D'Esposito,2025-09-03,,
Gregory W. Meeks,NY,5,D,SIGNED,2025-09-02,202-225-3461,,,2025-09-03,,
Grace Meng,NY,6,D,SIGNED,2025-09-02,202-225-2601,,,2025-09-03,,
Nydia Velazquez,NY,7,D,SIGNED,2025-09-03,202-225-2361,,,2025-09-03,,
Hakeem Jeffries,NY,8,D,SIGNED,2025-09-03,202-225-5936,,Democratic Leader,2025-09-03,,
Yvette D. Clarke,NY,9,D,SIGNED,2025-09-03,202-225-6231,,,2025-09-03,,
Greg Landsman,OH,1,D,SIGNED,2025-09-02,202-225-2216,,,2025-09-03,,
Michael Turner,OH,10,R,NOT_SIGNED,,202-225-6465,STANDARD,Intel Chair,,,
Shontel Brown,OH,11,D,SIGNED,2025-09-02,202-225-7032,,,2025-09-03,,
Troy Balderson,OH,12,R,NOT_SIGNED,,202-225-5355,STANDARD,,,,
Emilia Sykes,OH,13,D,SIGNED,2025-09-02,202-225-5231,,,2025-09-03,,
David Joyce,OH,14,R,NOT_SIGNED,,202-225-5731,STANDARD,Appropriations,,,
Mike Carey,OH,15,R,NOT_SIGNED,,202-225-2015,STANDARD,,,,
David Taylor,OH,2,R,NOT_SIGNED,,202-225-5705,STANDARD,Freshman - defeated Whaley,,,
Joyce Beatty,OH,3,D,SIGNED,2025-09-03,202-225-4324,,Former CBC Chair,2025-09-03,,
Jim Jordan,OH,4,R,NOT_SIGNED,,202-225-2676,STANDARD,Judiciary Chair,,,
Bob Latta,OH,5,R,NOT_SIGNED,,202-225-6405,STANDARD,,,,
Michael Rulli,OH,6,R,NOT_SIGNED,,202-225-5261,STANDARD,Special election winner,,,
Max Miller,OH,7,R,NOT_SIGNED,,202-225-3876,STANDARD,Trump aide,,,
Warren Davidson,OH,8,R,NOT_SIGNED,,202-225-6205,STANDARD,,,,
Marcy Kaptur,OH,9,D,SIGNED,2025-09-02,202-225-4146,,Dean of women,2025-09-03,,
Kevin Hern,OK,1,R,NOT_SIGNED,,202-225-2211,STANDARD,RSC Chair,,,
Josh Brecheen,OK,2,R,NOT_SIGNED,,202-225-2701,STANDARD,,,,
Frank Lucas,OK,3,R,NOT_SIGNED,,202-225-5565,STANDARD,Science Chair,,,
Tom Cole,OK,4,R,NOT_SIGNED,,202-225-6165,STANDARD,Appropriations Chair,,,
Stephanie Bice,OK,5,R,NOT_SIGNED,,202-225-2132,MEDIUM - GOP woman,GOP woman,,,
Suzanne Bonamici,OR,1,D,SIGNED,2025-09-03,202-225-0855,,,2025-09-03,,
Cliff Bentz,OR,2,R,NOT_SIGNED,,202-225-6730,STANDARD,,,,
Maxine Dexter,OR,3,D,SIGNED,2025-09-02,202-225-5711,,Freshman - replaced Blumenauer,2025-09-03,,
Val Hoyle,OR,4,D,SIGNED,2025-09-03,202-225-6416,,,2025-09-03,,
Janelle Bynum,OR,5,D,SIGNED,2025-09-02,202-225-5711,,Freshman - defeated Chavez-DeRemer,2025-09-03,,
Andrea Salinas,OR,6,D,SIGNED,2025-09-02,202-225-5643,,,2025-09-03,,
Brian Fitzpatrick,PA,1,R,NOT_SIGNED,,202-225-4276,HIGH - Bipartisan,Most bipartisan Republican,,,
Scott Perry,PA,10,R,NOT_SIGNED,,202-225-5836,STANDARD,Freedom Caucus Chair,,,
Lloyd Smucker,PA,11,R,NOT_SIGNED,,202-225-2411,STANDARD,,,,
Summer Lee,PA,12,D,SIGNED,2025-09-02,202-225-2135,,Progressive,2025-09-03,,
John Joyce,PA,13,R,NOT_SIGNED,,202-225-2431,STANDARD,,,,
Guy Reschenthaler,PA,14,R,NOT_SIGNED,,202-225-2065,STANDARD,Chief Deputy Whip,,,
Glenn Thompson,PA,15,R,NOT_SIGNED,,202-225-5121,STANDARD,Agriculture Chair,,,
Mike Kelly,PA,16,R,NOT_SIGNED,,202-225-5406,STANDARD,,,,
Chris Deluzio,PA,17,D,SIGNED,2025-09-03,202-225-2301,,,2025-09-03,,
Brendan Boyle,PA,2,D,SIGNED,2025-09-03,202-225-6111,,,2025-09-03,,
Dwight Evans,PA,3,D,SIGNED,2025-09-02,202-225-4001,,,2025-09-03,,
Madeleine Dean,PA,4,D,SIGNED,2025-09-03,202-225-4731,,,2025-09-03,,
Mary Gay Scanlon,PA,5,D,SIGNED,2025-09-02,202-225-2011,,,2025-09-03,,
Chrissy Houlahan,PA,6,D,SIGNED,2025-09-02,202-225-4315,,,2025-09-03,,
Ryan Mackenzie,PA,7,R,NOT_SIGNED,,202-225-6411,STANDARD,Freshman - defeated Wild,,,
Rob Bresnahan Jr.,PA,8,R,NOT_SIGNED,,202-225-6511,STANDARD,Freshman - defeated Cartwright,,,
Dan Meuser,PA,9,R,NOT_SIGNED,,202-225-6511,STANDARD,,,,
Gabe Amo,RI,1,D,SIGNED,2025-09-02,202-225-4911,,,2025-09-03,,
Seth Magaziner,RI,2,D,SIGNED,2025-09-02,202-225-2735,,,2025-09-03,,
Nancy Mace,SC,1,R,SIGNED,2025-09-02,202-225-3176,,Signed Sept 2,2025-09-03,,
Joe Wilson,SC,2,R,NOT_SIGNED,,202-225-2452,STANDARD,You lie! guy,,,
Sheri Biggs,SC,3,R,NOT_SIGNED,,202-225-5301,MEDIUM - GOP woman,GOP woman - Nurse practitioner,,,
William Timmons,SC,4,R,NOT_SIGNED,,202-225-6030,STANDARD,,,,
Ralph Norman,SC,5,R,NOT_SIGNED,,202-225-5501,STANDARD,,,,
James Clyburn,SC,6,D,SIGNED,2025-09-03,202-225-3315,,Assistant Democratic Leader,2025-09-03,,
Russell Fry,SC,7,R,NOT_SIGNED,,202-225-9895,STANDARD,,,,
Dusty Johnson,SD,AL,R,NOT_SIGNED,,202-225-2801,STANDARD,,,,
Diana Harshbarger,TN,1,R,NOT_SIGNED,,202-225-6356,MEDIUM - GOP woman,GOP woman - Pharmacist,,,
Tim Burchett,TN,2,R,NOT_SIGNED,,202-225-5435,STANDARD,,,,
Charles J. Fleischmann,TN,3,R,NOT_SIGNED,,202-225-3271,STANDARD,,,,
Scott DesJarlais,TN,4,R,NOT_SIGNED,,202-225-6831,STANDARD,,,,
Andy Ogles,TN,5,R,NOT_SIGNED,,202-225-4311,STANDARD,,,,
John Rose,TN,6,R,NOT_SIGNED,,202-225-4231,STANDARD,,,,
David Kustoff,TN,8,R,NOT_SIGNED,,202-225-4714,STANDARD,,,,
Steve Cohen,TN,9,D,SIGNED,2025-09-02,202-225-3265,,,2025-09-03,,
Nathaniel Moran,TX,1,R,NOT_SIGNED,,202-225-3035,STANDARD,,,,
Michael McCaul,TX,10,R,NOT_SIGNED,,202-225-2401,STANDARD,Foreign Affairs Chair,,,
August Pfluger,TX,11,R,NOT_SIGNED,,202-225-3605,STANDARD,,,,
Craig Goldman,TX,12,R,NOT_SIGNED,,202-225-5071,STANDARD,Freshman - replaced Granger,,,
Ronny L. Jackson,TX,13,R,NOT_SIGNED,,202-225-3706,STANDARD,Trump's doctor,,,
Randy Weber,TX,14,R,NOT_SIGNED,,202-225-2831,STANDARD,,,,
Monica De La Cruz,TX,15,R,NOT_SIGNED,,202-225-9901,MEDIUM - GOP woman,GOP woman,,,
Veronica Escobar,TX,16,D,SIGNED,2025-09-02,202-225-4831,,,2025-09-03,,
Pete Sessions,TX,17,R,NOT_SIGNED,,202-225-2231,STANDARD,Former NRCC Chair,,,
Jodey Arrington,TX,19,R,NOT_SIGNED,,202-225-4005,STANDARD,Budget Chair,,,
Daniel Crenshaw,TX,2,R,NOT_SIGNED,,202-225-6565,STANDARD,Navy SEAL,,,
Joaquin Castro,TX,20,D,SIGNED,2025-09-03,202-225-3236,,Julian's twin,2025-09-03,,
Chip Roy,TX,21,R,NOT_SIGNED,,202-225-4236,STANDARD,Freedom Caucus,,,
Troy Nehls,TX,22,R,NOT_SIGNED,,202-225-5951,STANDARD,,,,
Tony Gonzales,TX,23,R,NOT_SIGNED,,202-225-4511,STANDARD,Border moderate,,,
Beth Van Duyne,TX,24,R,NOT_SIGNED,,202-225-6605,MEDIUM - GOP woman,GOP woman - Former mayor,,,
Roger Williams,TX,25,R,NOT_SIGNED,,202-225-9896,STANDARD,,,,
Brandon Gill,TX,26,R,NOT_SIGNED,,202-225-5071,STANDARD,Freshman,,,
Michael Cloud,TX,27,R,NOT_SIGNED,,202-225-7742,STANDARD,,,,
Henry Cuellar,TX,28,D,SIGNED,2025-09-03,202-225-1640,,Signed Sept 3 despite indictment,2025-09-03,,
Sylvia Garcia,TX,29,D,SIGNED,2025-09-03,202-225-1688,,,2025-09-03,,
Keith Self,TX,3,R,NOT_SIGNED,,202-225-4201,STANDARD,,,,
Jasmine Crockett,TX,30,D,SIGNED,2025-09-02,202-225-8885,,Rising star,2025-09-03,,
John Carter,TX,31,R,NOT_SIGNED,,202-225-3864,STANDARD,,,,
Julie Johnson,TX,32,D,SIGNED,2025-09-02,202-225-2231,,Freshman - First LGBTQ from South,2025-09-03,,
Marc Veasey,TX,33,D,SIGNED,2025-09-03,202-225-9897,,,2025-09-03,,
Vicente Gonzalez Jr.,TX,34,D,SIGNED,2025-09-03,202-225-2531,,,2025-09-03,,
Greg Casar,TX,35,D,SIGNED,2025-09-02,202-225-1640,,Progressive,2025-09-03,,
Brian Babin,TX,36,R,NOT_SIGNED,,202-225-1555,STANDARD,,,,
Lloyd Doggett,TX,37,D,SIGNED,2025-09-03,202-225-4865,,,2025-09-03,,
Wesley Hunt,TX,38,R,NOT_SIGNED,,202-225-5866,STANDARD,West Point grad,,,
Pat Fallon,TX,4,R,NOT_SIGNED,,202-225-6673,STANDARD,,,,
Lance Gooden,TX,5,R,NOT_SIGNED,,202-225-3484,STANDARD,,,,
Jake Ellzey,TX,6,R,NOT_SIGNED,,202-225-2002,STANDARD,Won special election,,,
Lizzie Pannill Fletcher,TX,7,D,SIGNED,2025-09-02,202-225-2571,,,2025-09-03,,
Morgan Luttrell,TX,8,R,NOT_SIGNED,,202-225-4901,STANDARD,Navy SEAL twin,,,
Al Green,TX,9,D,SIGNED,2025-09-02,202-225-7508,,,2025-09-03,,
Blake Moore,UT,1,R,NOT_SIGNED,,202-225-0453,STANDARD,GOP Vice Conference Chair,,,
Celeste Maloy,UT,2,R,NOT_SIGNED,,202-225-3011,MEDIUM - GOP woman,GOP woman,,,
Mike Kennedy,UT,3,R,NOT_SIGNED,,202-225-3751,STANDARD,Freshman - Doctor,,,
Burgess Owens,UT,4,R,NOT_SIGNED,,202-225-3011,STANDARD,Former NFL player,,,
Robert J. Wittman,VA,1,R,NOT_SIGNED,,202-225-4261,STANDARD,,,,
Suhas Subramanyam,VA,10,D,SIGNED,2025-09-02,202-225-1492,,Freshman - Indian-American,2025-09-03,,
Jennifer Kiggans,VA,2,R,NOT_SIGNED,,202-225-4215,HIGHEST - Oversight,GOP woman - Chairs VA Oversight,,,
Robert C. Scott,VA,3,D,SIGNED,2025-09-02,202-225-8351,,,2025-09-03,,
Jennifer McClellan,VA,4,D,SIGNED,2025-09-02,202-225-8351,,,2025-09-03,,
John McGuire,VA,5,R,NOT_SIGNED,,202-225-4711,STANDARD,Freshman - defeated Good,,,
Benjamin Lee Cline,VA,6,R,NOT_SIGNED,,202-225-5431,STANDARD,,,,
Eugene Vindman,VA,7,D,SIGNED,2025-09-02,202-225-2815,,Freshman - Vindman twin,2025-09-03,,
Donald Sternoff Beyer Jr.,VA,8,D,SIGNED,2025-09-03,202-225-1492,,,2025-09-03,,
H. Morgan Griffith,VA,9,R,NOT_SIGNED,,202-225-3861,STANDARD,,,,
Stacey Plaskett,VI,AL,D,NOT_SIGNED,,202-225-1790,,Non-voting delegate,,,
Becca Balint,VT,AL,D,SIGNED,2025-09-02,202-225-4115,,First woman from VT,2025-09-03,,
Suzan DelBene,WA,1,D,SIGNED,2025-09-02,202-225-6311,,DCCC Chair,2025-09-03,,
Marilyn Strickland,WA,10,D,SIGNED,2025-09-02,202-225-9740,,,2025-09-03,,
Rick Larsen,WA,2,D,SIGNED,2025-09-03,202-225-2605,,,2025-09-03,,
Marie Gluesenkamp Pérez,WA,3,D,SIGNED,2025-09-02,202-225-3536,,Signed Sept 2,2025-09-03,,
Dan Newhouse,WA,4,R,NOT_SIGNED,,202-225-5816,STANDARD,Impeached Trump,,,
Michael Baumgartner,WA,5,R,NOT_SIGNED,,202-225-2006,STANDARD,Freshman,,,
Emily Randall,WA,6,D,SIGNED,2025-09-02,202-225-5916,,Freshman - Latina queer,2025-09-03,,
Pramila Jayapal,WA,7,D,SIGNED,2025-09-02,202-225-3106,,Progressive Caucus Chair,2025-09-03,,
Kim Schrier,WA,8,D,SIGNED,2025-09-02,202-225-7761,,Only female doctor in Congress,2025-09-03,,
D. Adam Smith,WA,9,D,SIGNED,2025-09-03,202-225-8901,,Armed Services Ranking,2025-09-03,,
Bryan Steil,WI,1,R,NOT_SIGNED,,202-225-3031,STANDARD,Admin Committee Chair,,,
Mark Pocan,WI,2,D,SIGNED,2025-09-03,202-225-2906,,,2025-09-03,,
Derrick Van Orden,WI,3,R,NOT_SIGNED,,202-225-5506,STANDARD,January 6 attendee,,,
Gwen Moore,WI,4,D,SIGNED,2025-09-03,202-225-4572,,,2025-09-03,,
Scott Fitzgerald,WI,5,R,NOT_SIGNED,,202-225-5101,STANDARD,,,,
Glenn Grothman,WI,6,R,NOT_SIGNED,,202-225-2476,STANDARD,,,,
Tom Tiffany,WI,7,R,NOT_SIGNED,,202-225-3365,STANDARD,,,,
Tony Wied,WI,8,R,NOT_SIGNED,,202-225-5665,STANDARD,Freshman,,,
Carol Miller,WV,1,R,NOT_SIGNED,,202-225-3452,MEDIUM - GOP woman,GOP woman,,,
Riley Moore,WV,2,R,NOT_SIGNED,,202-225-4172,STANDARD,Freshman - State Treasurer,,,
Harriet Hageman,WY,AL,R,NOT_SIGNED,,202-225-2311,MEDIUM - GOP woman,GOP woman - Defeated Liz Cheney,,,
